meeting_name,avg_temp,avg_humidity,avg_wind,avg_lap_time,fastest_lap
Bahrain Grand Prix,18.22738853503185,48.82165605095541,0.7859872611464969,97.25249999999998,94.09
Saudi Arabian Grand Prix,25.528082191780825,62.33561643835616,1.3027397260273974,97.24961224489796,91.632
Australian Grand Prix,20.62222222222222,44.451388888888886,0.9534722222222223,83.1348947368421,79.813
Japanese Grand Prix,21.691160220994476,43.430939226519335,2.2408839779005527,129.52971153846153,95.044
Chinese Grand Prix,18.63939393939394,66.06060606060606,1.68,108.5398,99.384
Miami Grand Prix,28.521999999999995,59.00666666666667,3.080666666666666,95.78748214285714,91.084
Emilia Romagna Grand Prix,25.113986013986015,48.42657342657343,2.141258741258741,81.42883870967744,79.935
Monaco Grand Prix,21.596499999999995,63.99,0.9795,79.73018181818182,75.162
Canadian Grand Prix,17.797345132743363,73.38053097345133,1.169911504424779,95.61271794871793,86.012
Spanish Grand Prix,24.132467532467533,63.44155844155844,2.1233766233766236,80.57712307692307,77.897
British Grand Prix,15.77074829931973,67.33333333333333,1.3482993197278912,97.75738000000001,89.748
Hungarian Grand Prix,28.82387096774194,46.92258064516129,1.2496774193548386,84.20952173913042,82.182
Belgian Grand Prix,21.32846715328467,49.583941605839414,1.6832116788321165,109.15527906976743,107.013
Dutch Grand Prix,19.00588235294118,60.96078431372549,4.568627450980392,75.8821971830986,74.585
Italian Grand Prix,33.1015037593985,32.285714285714285,1.518796992481203,84.47207692307694,83.226
Azerbaijan Grand Prix,26.70592105263158,38.01973684210526,1.5513157894736842,109.53622000000001,107.067
Singapore Grand Prix,30.786250000000003,74.65,0.9550000000000001,98.49034426229508,95.371
United States Grand Prix,28.12129032258064,35.535483870967745,1.5,101.99367272727272,97.834
Mexico City Grand Prix,19.88867924528302,51.0503144654088,2.150943396226415,85.41944285714285,78.336
Ṣo Paulo Grand Prix,21.662686567164172,85.2587064676617,0.735820895522388,111.02410294117647,81.631
Las Vegas Grand Prix,17.825174825174823,47.86013986013986,2.8986013986013983,98.70142857142856,95.674
Abu Dhabi Grand Prix,26.76824324324324,51.445945945945944,1.9006756756756753,89.95745614035086,88.018
